"","Suburb","Address","Rooms","Type","Price","Method","SellerG","Date","Distance","Postcode","Bedroom2","Bathroom","Car","Landsize","BuildingArea","YearBuilt","CouncilArea","Lattitude","Longtitude"
"7430","Northcote","239 Victoria Rd",3,"h",1e+06,"VB","Nelson","24/09/2016",5.5,3070,3,1,1,440,131,1930,"Darebin",-37.7663,145.0118
"7431","Northcote","5/216 Westgarth St",2,"u",6e+05,"S","Jellis","24/09/2016",5.5,3070,2,1,1,671,146.861538586252,1970,"Darebin",-37.7833,145.0135
"7432","Northcote","7 Campbell Gr",2,"h",1076960.67115367,"SP","Jellis","25/02/2017",5.5,3070,2,1,0,196,146.861538586252,1970,"Darebin",-37.7758,144.9969
"7434","Northcote","3/305 Heidelberg Rd",1,"u",389000,"SP","Nelson","25/02/2017",5.5,3070,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"7435","Northcote","15a Reid St",3,"h",1620500,"S","McGrath","25/02/2017",5.5,3070,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"7436","Northcote","27 Zoe Cct",3,"t",980000,"S","Harrington","25/02/2017",5.5,3070,3,2,2,195,146.861538586252,1970,"Darebin",-37.7678,144.9853
"7437","Northcote","1b Reid St",2,"h",722000,"SP","Peter","26/07/2016",5.5,3070,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"7438","Northcote","174 Beaconsfield Pde",4,"h",1310000,"S","Nelson","27/06/2016",5.5,3070,4,2,1,355,146.861538586252,1970,"Darebin",-37.7636,144.9872
"7439","Northcote","14 Bent St",3,"h",1076960.67115367,"SN","hockingstuart","27/06/2016",5.5,3070,3,1,1,251,129,1925,"Darebin",-37.7673,144.9981
"7440","Northcote","14 Northcote St",2,"h",1050000,"S","Barry","27/06/2016",5.5,3070,2,1,2,301,100,1925,"Darebin",-37.774,145.0081
"7441","Northcote","82 South Cr",4,"h",1100000,"VB","Nelson","27/06/2016",5.5,3070,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"7443","Northcote","162 Bastings St",3,"h",2160000,"S","Jellis","27/11/2016",5.5,3070,3,2,1,338,90,1920,"Darebin",-37.7757,145.0119
"7444","Northcote","43 Bird Av",2,"h",960000,"PI","Jellis","27/11/2016",5.5,3070,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"7445","Northcote","6 Maivary La",2,"h",1076960.67115367,"S","Jellis","27/11/2016",5.5,3070,2,2,2,320,146.861538586252,1970,"Darebin",-37.7749,145.0103
"7446","Northcote","13 Vauxhall Rd",3,"h",1610000,"S","Jellis","27/11/2016",5.5,3070,3,1,2,501,146.861538586252,1970,"Darebin",-37.7771,145.0116
"7448","Northcote","160 Bent St",4,"h",1420000,"S","hockingstuart","28/05/2016",5.5,3070,3,1,1,465,137,1890,"Darebin",-37.7662,144.9889
"7449","Northcote","8 Bent St",3,"h",1076960.67115367,"S","hockingstuart","28/05/2016",5.5,3070,3,1,1,247,146.861538586252,1970,"Darebin",-37.7673,144.9984
"7450","Northcote","3 Brooke St",4,"h",1950000,"S","hockingstuart","28/05/2016",5.5,3070,4,2,1,489,140,1910,"Darebin",-37.7762,145.0027
"7452","Northcote","27 Vauxhall Rd",4,"h",1900000,"PI","hockingstuart","28/05/2016",5.5,3070,3,2,1,537,146.861538586252,1970,"Darebin",-37.7763,145.0117
"7453","Northcote","3 Atkinson St",3,"h",1080000,"S","Harrington","28/08/2016",5.5,3070,2,1,1,348,130,1910,"Darebin",-37.7799,145.011
"7454","Northcote","95 Beavers Rd",2,"h",1076960.67115367,"PN","McGrath","28/08/2016",5.5,3070,3,2,1,175,81,1910,"Darebin",-37.7662,144.9932
"7455","Northcote","58 Bridge St",3,"h",1076960.67115367,"S","Nelson","28/08/2016",5.5,3070,3,1,1,247,146.861538586252,1970,"Darebin",-37.7782,144.9947
"7456","Northcote","54 Charles St",3,"h",1076960.67115367,"S","Jellis","28/08/2016",5.5,3070,3,1,1,193,146.861538586252,1970,"Darebin",-37.777,144.9922
"7458","Northcote","70 James St",3,"h",1450000,"PI","McGrath","28/08/2016",5.5,3070,3,1,1,489,146.861538586252,1900,"Darebin",-37.7756,145.0002
"7459","Northcote","72 James St",2,"h",1076960.67115367,"PI","McGrath","28/08/2016",5.5,3070,2,1,1,471,146.861538586252,1970,"Darebin",-37.7757,145.0003
"7460","Northcote","14 Jenkins St",3,"h",1400000,"S","McGrath","28/08/2016",5.5,3070,3,1,2,582,146.861538586252,1932,"Darebin",-37.7651,145.0062
"7461","Northcote","41 Johnson St",2,"h",1340000,"S","McGrath","28/08/2016",5.5,3070,2,1,1,297,108,1910,"Darebin",-37.7627,144.9986
"7463","Northcote","43 Salisbury Gr",4,"h",1300000,"VB","Jellis","28/08/2016",5.5,3070,4,3,2,187,146.861538586252,1970,"Darebin",-37.7642,145.0025
"7465","Northcote","77 Union St",2,"h",1634000,"SP","Nelson","28/08/2016",5.5,3070,2,1,2,376,109,1920,"Darebin",-37.7789,144.9952
"7466","Northcote","27 Westgarth St",4,"h",1076960.67115367,"S","Nelson","28/08/2016",5.5,3070,3,1,0,417,146.861538586252,1970,"Darebin",-37.7807,144.9947
"7467","Northcote","51 Beavers Rd",2,"h",910000,"S","Jellis","30/07/2016",5.5,3070,2,1,1,150,81,1995,"Darebin",-37.7665,144.9955
"7468","Northcote","78 Bridge St",4,"h",1650000,"S","Nelson","30/07/2016",5.5,3070,4,1,1,382,168,1970,"Darebin",-37.7784,144.9959
"7469","Northcote","106 Christmas St",3,"t",1130000,"S","Nelson","30/07/2016",5.5,3070,3,2,1,229,146.861538586252,1970,"Darebin",-37.7671,145.0153
"7471","Northcote","270 Clarke St",3,"h",1076960.67115367,"SN","Nelson","30/07/2016",5.5,3070,3,2,2,228,102,1915,"Darebin",-37.7775,145.0039
"7472","Northcote","155 Westbourne Gr",3,"h",1510000,"PI","Jellis","30/07/2016",5.5,3070,3,1,3,327,165,1900,"Darebin",-37.7741,144.9971
"7475","Oak Park","2/13 Cartwright St",4,"t",670000,"SP","Brad","3/09/2016",11.5,3046,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"7476","Oak Park","14 Marie St",3,"h",892000,"S","Nelson","3/09/2016",11.5,3046,3,1,3,757,146.861538586252,1970,"Moreland",-37.718,144.9174
"7477","Oak Park","1 Victoria St",2,"h",592000,"S","Barry","3/09/2016",11.5,3046,2,1,2,577,146.861538586252,1970,"Moreland",-37.7137,144.9167
"7478","Oak Park","1/1 Gregory St",3,"u",647000,"S","Brad","3/12/2016",11.5,3046,3,1,2,250,146.861538586252,1970,"Moreland",-37.7232,144.9148
"7479","Oak Park","3/55 Snell Gr",3,"u",1076960.67115367,"PI","Barry","3/12/2016",11.5,3046,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"7480","Oak Park","40 Winifred St",4,"h",865000,"S","Brad","3/12/2016",11.5,3046,4,1,2,696,160,1955,"Moreland",-37.7209,144.9158
"7481","Oak Park","7 Cartwright St",4,"h",1350000,"S","Eview","4/03/2017",11.5,3046,4,2,2,590,237,1970,"Moreland",-37.7151,144.9194
"7482","Oak Park","2/13 Cartwright St",4,"h",670000,"VB","hockingstuart","4/06/2016",11.5,3046,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"7483","Oak Park","1/9 Cartwright St",2,"u",476000,"S","hockingstuart","6/08/2016",11.5,3046,2,1,1,189,85,1995,"Moreland",-37.7151,144.9191
"7484","Oak Park","1/8 Gregory St",3,"t",1076960.67115367,"PI","Barry","6/08/2016",11.5,3046,3,2,2,176,113,2010,"Moreland",-37.7231,144.9153
"7485","Oak Park","2/27 Nerissa Gr",2,"h",1076960.67115367,"S","Jellis","7/05/2016",11.5,3046,2,1,1,152,85,2000,"Moreland",-37.7188,144.9228
"7486","Oak Park","40 New Rd",4,"h",830000,"PI","Brad","7/05/2016",11.5,3046,4,2,2,616,146.861538586252,1950,"Moreland",-37.7134,144.9096
"7487","Oak Park","3 Summit Av",4,"h",1076960.67115367,"SP","Brad","7/05/2016",11.5,3046,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"7488","Oak Park","44 Devereaux St",3,"h",706000,"PI","Eview","7/11/2016",11.5,3046,3,1,0,715,111,1960,"Moreland",-37.7143,144.9092
"7489","Oak Park","11 Murphy St",4,"h",920000,"S","Ray","7/11/2016",11.5,3046,4,2,2,780,179,1965,"Moreland",-37.7168,144.9171
"7490","Oak Park","3/34 Watt Av",2,"u",1076960.67115367,"S","Stockdale","7/11/2016",11.5,3046,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"7491","Oak Park","69a Rhodes Pde",3,"h",1076960.67115367,"SN","Barry","8/10/2016",11.5,3046,3,2,2,327,195,2000,"Moreland",-37.7152,144.924
"7492","Oak Park","4/13 Sylvester St",2,"u",522000,"S","Stockdale","8/10/2016",11.5,3046,2,1,1,161,91,2012,"Moreland",-37.7204,144.9131
"7493","Oak Park","14 Barina Rd",4,"h",1076960.67115367,"PN","Eview","10/09/2016",11.5,3046,4,2,2,665,254,2005,"Moreland",-37.7146,144.9222
"7495","Oak Park","7 Pines Gr",4,"h",690000,"S","Brad","10/09/2016",11.5,3046,3,1,1,553,137,1960,"Moreland",-37.7161,144.9165
"7496","Oak Park","1/85 Winifred St",3,"h",1076960.67115367,"PN","Eview","10/09/2016",11.5,3046,3,1,1,276,94,1950,"Moreland",-37.7182,144.912
"7497","Oak Park","19 John St",2,"t",520000,"VB","Stockdale","10/12/2016",11.5,3046,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"7498","Oak Park","4 Ridge Rd",4,"h",8e+05,"S","Stockdale","10/12/2016",11.5,3046,4,2,1,589,146.861538586252,1970,"Moreland",-37.7151,144.9157
"7499","Oak Park","6A Albert St",4,"t",1076960.67115367,"PI","Brad","11/02/2017",11.5,3046,4,2,1,405,226,2000,"Moreland",-37.7198,144.9258
"7500","Oak Park","1/22 Lex Gr",3,"t",770000,"S","Brad","11/02/2017",11.5,3046,3,2,2,272,138,2012,"Moreland",-37.7182,144.9244
"7503","Oak Park","19 Valdoone Ct",3,"h",727500,"S","Brad","13/08/2016",11.5,3046,3,1,2,719,146.861538586252,1970,"Moreland",-37.7152,144.9074
"7504","Oak Park","74a Winifred St",3,"u",6e+05,"SP","Brad","13/08/2016",11.5,3046,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"7505","Oak Park","33 Vincent St",4,"h",1076960.67115367,"S","Nelson","14/05/2016",11.5,3046,3,2,2,694,95,1950,"Moreland",-37.7202,144.9161
"7506","Oak Park","28 Curie Av",3,"h",1160000,"S","Brad","15/10/2016",11.5,3046,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"7507","Oak Park","3 Flannery Ct",3,"h",925000,"S","Brad","15/10/2016",11.5,3046,3,1,4,815,146.861538586252,1997,"Moreland",-37.7151,144.9062
"7508","Oak Park","2/8 Gregory St",2,"t",475000,"PI","Barry","15/10/2016",11.5,3046,2,1,1,118,113,2010,"Moreland",-37.7232,144.9154
"7509","Oak Park","2/16 Winifred St",2,"u",1076960.67115367,"PI","Harcourts/Barry","15/10/2016",11.5,3046,2,1,1,138,76,2009,"Moreland",-37.7209,144.9179
"7510","Oak Park","2/2 Strachan St",2,"t",1076960.67115367,"SP","Nelson","16/04/2016",11.5,3046,2,2,1,135,125,2011,"Moreland",-37.7166,144.9199
"7511","Oak Park","14 Summit Av",4,"t",715750,"SP","Stockdale","16/04/2016",11.5,3046,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"7512","Oak Park","18 Summit Av",3,"h",862500,"S","Brad","16/04/2016",11.5,3046,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"7513","Oak Park","5/25 Ethel St",3,"u",651000,"S","Nelson","16/07/2016",11.5,3046,3,2,2,198,113,2009,"Moreland",-37.722,144.9169
"7514","Oak Park","1/29 Margaret St",3,"t",770000,"SP","Nelson","16/07/2016",11.5,3046,3,2,2,264,146.861538586252,1970,"Moreland",-37.722,144.9192
"7515","Oak Park","63 Vincent St",3,"h",9e+05,"SP","Nelson","16/07/2016",11.5,3046,3,1,1,705,146.861538586252,1970,"Moreland",-37.7187,144.914
"7516","Oak Park","96 Winifred St",3,"h",815500,"S","Brad","16/07/2016",11.5,3046,3,2,2,790,165,1940,"Moreland",-37.718,144.9124
"7517","Oak Park","1 Jacaranda St",3,"h",770000,"S","Stockdale","17/09/2016",11.5,3046,3,2,2,382,173,1960,"Moreland",-37.7152,144.9165
"7518","Oak Park","3/54 Watt Av",3,"t",599900,"S","YPA","17/09/2016",11.5,3046,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"7519","Oak Park","4/29 Margaret St",2,"t",585500,"S","Eview","18/03/2017",11.5,3046,2,1,1,161,86,2013,"Moreland",-37.7218,144.9188
"7520","Oak Park","40 Devereaux St",4,"h",840000,"SP","Nelson","18/06/2016",11.5,3046,4,1,2,704,196,1960,"Moreland",-37.7143,144.9096
"7521","Oak Park","1/16 Grevillia Rd",3,"t",765000,"S","Eview","19/11/2016",11.5,3046,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"7522","Oak Park","20 Lex Gr",4,"h",1005000,"S","Stockdale","19/11/2016",11.5,3046,4,1,1,780,146.861538586252,1970,"Moreland",-37.7182,144.9246
"7523","Oak Park","16 Magnolia St",3,"h",1076960.67115367,"S","Nelson","19/11/2016",11.5,3046,3,1,1,663,172,1951,"Moreland",-37.7191,144.9249
"7525","Oak Park","2/16 Winifred St",2,"u",470000,"VB","Barry","22/05/2016",11.5,3046,2,1,1,138,76,2009,"Moreland",-37.7209,144.9179
"7526","Oak Park","100 Winifred St",3,"h",810000,"SP","Brad","22/08/2016",11.5,3046,3,1,3,763,93,1960,"Moreland",-37.7178,144.9121
"7527","Oak Park","1/13 Cartwright St",3,"t",6e+05,"S","Brad","24/09/2016",11.5,3046,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"7528","Oak Park","1/4 Gregory St",3,"t",675500,"S","Nelson","24/09/2016",11.5,3046,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"7529","Oak Park","4 Short Av",3,"h",723000,"S","Barry","24/09/2016",11.5,3046,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"7530","Oak Park","1/12 Cartwright St",2,"h",626000,"S","Considine","27/06/2016",11.5,3046,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"7531","Oak Park","1/13 Cartwright St",3,"h",590000,"VB","hockingstuart","27/06/2016",11.5,3046,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"7532","Oak Park","28 Watt Av",3,"h",1201000,"S","Barry","27/06/2016",11.5,3046,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"7533","Oak Park","2/21 Gregory St",3,"u",550000,"PI","Brad","27/11/2016",11.5,3046,3,1,1,196,146.861538586252,1970,"Moreland",-37.7216,144.9157
"7534","Oak Park","15 Curie Av",3,"h",940000,"S","Stockdale","28/05/2016",11.5,3046,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"7535","Oak Park","68 Vincent St",4,"h",855333,"S","Eview","28/08/2016",11.5,3046,4,1,2,694,183,1974,"Moreland",-37.718,144.9138
"7536","Oak Park","3/43 Watt Av",2,"t",572000,"S","Nelson","28/08/2016",11.5,3046,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"7539","Oakleigh South","27 Beryl Av",4,"h",991000,"S","Woodards","3/09/2016",14.7,3167,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"7540","Oakleigh South","41 Cleek Av",2,"h",1242000,"S","Buxton","3/09/2016",14.7,3167,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"7541","Oakleigh South","21a Tular Av",2,"t",665000,"SP","Buxton","3/09/2016",14.7,3167,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"7542","Oakleigh South","2/232 Warrigal Rd",3,"t",680000,"S","Fletchers","3/09/2016",14.7,3167,3,2,1,189,123,1970,"Monash",-37.9122,145.0853
"7543","Oakleigh South","14 Bossington St",3,"h",981000,"S","Buxton","3/12/2016",14.7,3167,3,1,2,646,146.861538586252,1970,"Monash",-37.9167,145.0855
"7544","Oakleigh South","9 Salem Av",4,"h",1100000,"S","hockingstuart","3/12/2016",14.7,3167,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"7545","Oakleigh South","4 Montrose St",4,"h",876000,"S","Buxton","4/02/2016",14.7,3167,4,2,1,535,146.861538586252,1970,"Kingston",-37.9384,145.0878
"7546","Oakleigh South","16 Alleford St",3,"h",875000,"S","Buxton","4/03/2017",14.7,3167,3,2,1,258,105,1999,"Monash",-37.9156,145.0879
"7548","Oakleigh South","5 Windsor Av",3,"h",1076960.67115367,"S","Woodards","4/06/2016",14.7,3167,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"7549","Oakleigh South","2/1073 Centre Rd",4,"h",651000,"PI","Woodards","7/05/2016",14.7,3167,4,2,2,214,189,2010,"Kingston",-37.9244,145.0883
"7550","Oakleigh South","14 Columbia St",3,"h",802000,"S","Ray","8/10/2016",14.7,3167,1,1,2,533,120,1960,"Kingston",-37.9348,145.0836
"7551","Oakleigh South","21 Hardy Ct",3,"h",995000,"S","Ray","8/10/2016",14.7,3167,3,1,1,530,146.861538586252,1970,"Monash",-37.9248,145.1067
"7552","Oakleigh South","10 Luain Av",3,"h",885000,"S","Win","8/10/2016",14.7,3167,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"7553","Oakleigh South","9 Wicks Ct",4,"h",881500,"S","Ray","10/09/2016",14.7,3167,4,2,2,581,146.861538586252,1970,"Kingston",-37.9355,145.0979
"7555","Oakleigh South","7 Cleek Av",4,"h",1346000,"S","Buxton","10/12/2016",14.7,3167,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"7556","Oakleigh South","9 Sumersett Av",4,"h",980000,"S","Buxton","10/12/2016",14.7,3167,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"7559","Oakleigh South","10a Farm Rd",2,"h",580000,"PI","Buxton","12/06/2016",14.7,3167,2,1,2,428,146.861538586252,1970,"Monash",-37.9249,145.0943
"7560","Oakleigh South","1 Abercrombie St",4,"h",1076960.67115367,"S","Woodards","12/11/2016",14.7,3167,4,2,2,596,161,1980,"Kingston",-37.932,145.0827
"7561","Oakleigh South","72A Axford Cr",2,"u",665000,"S","Buxton","12/11/2016",14.7,3167,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"7562","Oakleigh South","1/5 Cleek Av",2,"u",1076960.67115367,"SN","Buxton","12/11/2016",14.7,3167,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"7563","Oakleigh South","13 Farm Rd",3,"h",937500,"S","Ray","12/11/2016",14.7,3167,3,1,2,530,146.861538586252,1970,"Monash",-37.9245,145.0937
"7564","Oakleigh South","25 Luntar Rd",3,"h",1080000,"S","Woodards","12/11/2016",14.7,3167,3,2,2,716,146.861538586252,1970,"Kingston",-37.9261,145.083
"7565","Oakleigh South","8 Riley St",3,"h",1e+06,"S","Ray","12/11/2016",14.7,3167,3,2,2,575,120,1960,"Monash",-37.9215,145.0925
"7566","Oakleigh South","10 Ward Av",2,"h",8e+05,"S","Woodards","12/11/2016",14.7,3167,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"7567","Oakleigh South","1/650 Warrigal Rd",3,"u",615000,"SP","RT","12/11/2016",14.7,3167,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"7568","Oakleigh South","5 Kaybrook Ct",3,"h",1076960.67115367,"PI","Harcourts","14/05/2016",14.7,3167,3,1,2,565,110,1965,"Monash",-37.9231,145.1065
"7569","Oakleigh South","24 Guest Rd",3,"h",1235000,"S","Buxton","15/10/2016",14.7,3167,3,1,4,743,146.861538586252,1970,"Monash",-37.9129,145.094
"7570","Oakleigh South","7 Robyn Ct",4,"h",801347,"SP","Buxton","16/07/2016",14.7,3167,4,2,1,567,164,1970,"Kingston",-37.9361,145.0816
"7571","Oakleigh South","100 Sherbrooke Av",3,"h",765000,"S","C21","16/07/2016",14.7,3167,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"7572","Oakleigh South","1/30 Mimosa Av",3,"u",710000,"SP","Buxton","17/09/2016",14.7,3167,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"7573","Oakleigh South","9 Emerald St",3,"h",921000,"S","hockingstuart","18/03/2017",14.7,3167,3,1,2,535,129,1970,"Kingston",-37.9377,145.0856
"7575","Oakleigh South","1/19 Dermot St",2,"h",752500,"SP","Buxton","18/06/2016",14.7,3167,2,1,1,308,112,1950,"Monash",-37.9191,145.0855
"7576","Oakleigh South","18 Mimosa Av",3,"h",1076960.67115367,"SP","Buxton","18/06/2016",14.7,3167,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"7577","Oakleigh South","9 Telopea Ct",4,"h",8e+05,"PI","Woodards","18/06/2016",14.7,3167,4,2,2,558,146.861538586252,1970,"Kingston",-37.9393,145.0962
"7578","Oakleigh South","38 Beryl Av",4,"h",1225000,"S","Ray","19/11/2016",14.7,3167,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"7579","Oakleigh South","14 Mimosa Av",3,"h",1200500,"S","Buxton","19/11/2016",14.7,3167,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"7580","Oakleigh South","52 Valley St",4,"h",1076960.67115367,"PI","Buxton","19/11/2016",14.7,3167,4,2,4,602,131,1950,"Monash",-37.9183,145.1105
"7581","Oakleigh South","22 Tular Av",3,"h",1141000,"S","Ray","22/08/2016",14.7,3167,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"7582","Oakleigh South","41 Bossington St",3,"t",8e+05,"S","Buxton","24/09/2016",14.7,3167,3,1,2,252,146.861538586252,1970,"Monash",-37.9167,145.0879
"7583","Oakleigh South","10 Cameron Av",3,"h",1125000,"S","Woodards","24/09/2016",14.7,3167,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"7585","Oakleigh South","107 Golf Rd",3,"h",1067000,"S","Woodards","25/02/2017",14.7,3167,3,1,2,648,122,1940,"Monash",-37.9196,145.0876
"7586","Oakleigh South","31 Riley St",4,"h",1310000,"S","Buxton","25/02/2017",14.7,3167,4,2,4,993,146.861538586252,1960,"Monash",-37.9239,145.0943
"7588","Oakleigh South","28 Devoy St",3,"h",1260500,"S","Buxton","26/07/2016",14.7,3167,3,1,1,774,107,1950,"Monash",-37.9178,145.0872
"7589","Oakleigh South","37 Bourke Rd",4,"h",676000,"S","C21","27/06/2016",14.7,3167,3,1,1,469.181403665624,146.861538586252,1970,NA,-37.9404,145.0964
"7590","Oakleigh South","6 Bossington St",2,"h",1076960.67115367,"PI","Buxton","27/11/2016",14.7,3167,2,1,2,650,119,1950,"Monash",-37.9166,145.0848
"7591","Oakleigh South","15 Druitt St",3,"h",850500,"S","Buxton","27/11/2016",14.7,3167,3,1,2,531,118,1962,"Kingston",-37.9303,145.082
"7592","Oakleigh South","2/3 Golf Rd",2,"u",625000,"S","LJ","27/11/2016",14.7,3167,2,1,1,204,146.861538586252,1970,"Monash",-37.9107,145.0891
"7593","Oakleigh South","3 Paula Ct",3,"h",980500,"S","McGrath","27/11/2016",14.7,3167,3,2,2,727,146.861538586252,1970,"Monash",-37.9187,145.1098
"7594","Oakleigh South","22 Pitt St",3,"h",1068000,"S","Ray","27/11/2016",14.7,3167,3,2,2,609,172,1970,"Monash",-37.9213,145.0854
"7595","Oakleigh South","20 Sherbrooke Av",4,"h",840000,"SP","Woodards","27/11/2016",14.7,3167,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"7596","Oakleigh South","2/36 Cleek Av",3,"t",935000,"S","Buxton","28/05/2016",14.7,3167,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"7597","Oakleigh South","2 Lehem Av",3,"h",8e+05,"S","Woodards","28/05/2016",14.7,3167,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"7598","Oakleigh South","20 Vanessa Ct",4,"h",937500,"SP","Greg","28/05/2016",14.7,3167,4,2,2,539,226,1993,"Kingston",-37.9413,145.0957
"7599","Oakleigh South","5 Salem Av",3,"h",9e+05,"S","Buxton","28/08/2016",14.7,3167,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"7600","Oakleigh South","24 Terrigal Av",4,"h",1410000,"S","Buxton","28/08/2016",14.7,3167,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"7601","Oakleigh South","15 Yarra Ct",4,"h",1126000,"S","Buxton","28/08/2016",14.7,3167,4,2,2,530,242,1980,"Kingston",-37.935,145.083
"7602","Oakleigh South","19 Reid St",2,"h",778000,"S","Ray","30/07/2016",14.7,3167,2,1,1,806,89,1965,"Monash",-37.9112,145.0873
"7603","Parkville","50 Strickland Rd",4,"h",1230000,"S","Nelson","3/09/2016",2.6,3052,4,2,2,357,249,2009,"Melbourne",-37.7767,144.9403
"7606","Parkville","507 Royal Pde",4,"h",1076960.67115367,"S","Jellis","4/06/2016",2.6,3052,4,3,1,335,146.861538586252,1970,"Melbourne",-37.7809,144.9588
"7607","Parkville","92 Fitzgibbon St",2,"h",1805000,"S","Collins","8/10/2016",2.6,3052,2,1,1,187,102,1890,"Melbourne",-37.7939,144.9572
"7610","Parkville","2/86 Cade Wy",2,"u",5e+05,"VB","Jellis","11/02/2017",2.6,3052,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"7619","Parkville","168 Gatehouse St",4,"h",1717500,"S","Collins","19/11/2016",2.6,3052,4,2,1,165,146.861538586252,1970,"Melbourne",-37.7933,144.9556
"7623","Parkville","16 William St",4,"h",1340000,"S","Nelson","22/05/2016",2.6,3052,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"7624","Parkville","66 Fitzgibbon St",2,"h",1851000,"S","Marshall","22/08/2016",2.6,3052,2,1,1,172,146.861538586252,1900,"Melbourne",-37.7948,144.9571
"7626","Parkville","110 Gatehouse St",4,"h",1928000,"S","Jellis","24/09/2016",2.6,3052,4,1,0,194,186,1890,"Melbourne",-37.7944,144.9542
"7628","Parkville","187 Park Dr",3,"h",2236000,"S","Collins","27/06/2016",2.6,3052,4,2,1,154,196,1890,"Melbourne",-37.7934,144.9562
"7631","Parkville","14 Carrangall Pl",3,"h",965000,"SP","Woodards","28/08/2016",2.6,3052,3,2,2,173,146.861538586252,1970,"Melbourne",-37.7795,144.9413
"7636","Pascoe Vale","7 Virginia St",3,"h",770000,"S","Nelson","3/09/2016",9.9,3044,3,1,4,560,120,1960,"Moreland",-37.7156,144.9429
"7637","Pascoe Vale","2/47 Austin Cr",2,"t",455000,"SP","Eview","3/12/2016",9.9,3044,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"7638","Pascoe Vale","3/1 Farringdon St",2,"u",1076960.67115367,"PN","Nelson","3/12/2016",9.9,3044,2,1,1,158,84,2006,"Moreland",-37.7272,144.9266
"7639","Pascoe Vale","2 Hazel Gr",2,"h",915000,"S","New","3/12/2016",9.9,3044,2,1,3,629,146.861538586252,1975,"Moreland",-37.7312,144.9399
"7640","Pascoe Vale","1/9 Kitchener Rd",2,"t",1076960.67115367,"SN","D'Aprano","3/12/2016",9.9,3044,2,1,1,157,146.861538586252,1970,"Moreland",-37.7186,144.938
"7641","Pascoe Vale","27 Quick St",4,"h",975000,"S","Brad","3/12/2016",9.9,3044,4,1,1,733,159,1960,"Moreland",-37.7194,144.9307
